 LATO         PERIMETRO       AREA          DIAGONALE 
*******************************************************
 1            4               1              1.4142        
 2            8               4              2.8284        
 3            12              9              4.2426        
 4            16              16             5.6569        
 5            20              25             7.0711        
 6            24              36             8.4853        
 7            28              49             9.8995        
 8            32              64             11.3137        
 9            36              81             12.7279        
 10           40              100            14.1421        
*******************************************************
 11           44              121            15.5563        
 12           48              144            16.9706        
 13           52              169            18.3848        
 14           56              196            19.7990        
 15           60              225            21.2132        
 16           64              256            22.6274        
 17           68              289            24.0416        
 18           72              324            25.4558        
 19           76              361            26.8701        
 20           80              400            28.2843        
*******************************************************
      
